Date,commodity,average_price,Arrival,temperature_avg,wind_speed,air_pressure,rainfall_mm,diesel,USD_to_NPR,month
2022-07-05,Tomato_Big,51.97674418604651,2750.0,24.2,7.3,1008.2,0.0,178.0,124.66470336914062,7
2022-07-06,Tomato_Big,51.93798449612403,5150.0,23.8,5.5,1012.5,0.0,178.0,124.8941879272461,7
2022-07-07,Tomato_Big,51.89922480620155,1825.0,24.8,8.7,1011.9,0.0,178.0,125.28277587890624,7
2022-07-08,Tomato_Big,51.86046511627907,25750.0,22.7,6.1,1009.8,0.0,178.0,125.00367736816406,7
2022-07-09,Tomato_Big,51.82170542635659,7750.0,22.4,7.4,1009.5,0.0,178.0,125.55216979980467,7
2022-07-10,Tomato_Big,51.78294573643411,3350.0,23.9,7.2,1009.1,0.0,178.0,125.55216979980467,7
2022-07-13,Tomato_Big,51.666666666666664,16025.0,24.0,5.8,1008.6,0.0,178.0,125.55216979980467,7
2022-07-14,Tomato_Big,51.627906976744185,5500.0,24.1,6.1,1008.2,0.0,178.0,125.64266967773438,7
2022-07-15,Tomato_Big,51.58914728682171,2000.0,25.2,6.7,1011.0,0.0,178.0,126.02696228027344,7
2022-07-16,Tomato_Big,51.55038759689923,3125.0,25.3,8.4,1011.3,0.0,178.0,125.82134246826172,7
2022-07-18,Tomato_Big,51.47286821705426,1125.0,23.5,9.7,1009.6,0.0,178.0,125.82134246826172,7
2022-07-19,Tomato_Big,51.434108527131784,6750.0,23.3,6.6,1009.2,0.0,178.0,126.1664047241211,7
2022-07-20,Tomato_Big,51.395348837209305,14625.0,22.8,5.2,1008.2,0.0,178.0,126.28081512451172,7
2022-07-21,Tomato_Big,51.35658914728682,7500.0,22.4,5.2,1010.3,0.0,178.0,126.15591430664062,7
2022-07-22,Tomato_Big,51.31782945736434,2000.0,22.2,5.8,1012.4,0.0,178.0,126.16682434082033,7
2022-07-24,Tomato_Big,51.24031007751938,11450.0,22.7,6.0,1013.2,0.0,178.0,125.94506072998048,7
