Date,USD_to_NPR
,USDNPR=X
2023-12-19,131.30320739746094
2023-12-20,131.44537353515625
2023-12-21,131.5266876220703
2023-12-22,131.60362243652344
2023-12-25,131.6287841796875
2023-12-26,131.6287841796875
2023-12-27,131.71728515625
2023-12-28,131.81736755371094
2023-12-29,132.24928283691406
2024-01-01,131.81402587890625
2024-01-02,131.93336486816406
2024-01-03,132.89105224609375
2024-01-04,132.04600524902344
2024-01-05,131.5913543701172
2024-01-08,131.11831665039062
2024-01-09,131.40985107421875
2024-01-10,131.5107879638672
2024-01-11,131.26055908203125
2024-01-12,131.29238891601562
2024-01-15,130.9160614013672
2024-01-16,130.90830993652344
2024-01-17,131.65432739257812
2024-01-18,131.6355743408203
2024-01-19,131.43017578125
2024-01-22,131.24322509765625
2024-01-23,131.40679931640625
2024-01-24,131.35617065429688
2024-01-25,131.42135620117188
2024-01-26,131.47503662109375
2024-01-29,131.42803955078125
2024-01-30,131.4173583984375
2024-01-31,131.14207458496094
2024-02-01,131.06446838378906
2024-02-02,131.13787841796875
2024-02-05,132.2679443359375
2024-02-06,131.45516967773438
2024-02-07,131.38645935058594
2024-02-08,130.93199157714844
2024-02-09,131.2154083251953
2024-02-12,131.121826171875
2024-02-13,131.0497283935547
2024-02-14,131.1575927734375
2024-02-15,131.26934814453125
2024-02-16,131.17691040039062
2024-02-19,131.23451232910156
2024-02-20,131.2462615966797
2024-02-21,131.12673950195312
2024-02-22,131.18417358398438
2024-02-23,131.1005401611328
2024-02-26,131.30438232421875
2024-02-27,131.01657104492188
2024-02-28,130.93875122070312
2024-02-29,130.8199005126953
2024-03-01,131.13099670410156
2024-03-04,130.62600708007812
2024-03-05,131.09669494628906
2024-03-06,131.09930419921875
2024-03-07,130.74734497070312
2024-03-08,130.23765563964844
2024-03-11,130.59796142578125
2024-03-12,130.87828063964844
2024-03-13,130.8593292236328
2024-03-14,130.79074096679688
2024-03-15,130.9549560546875
2024-03-18,131.1009063720703
2024-03-19,131.43582153320312
2024-03-20,131.27911376953125
2024-03-21,131.45321655273438
2024-03-22,131.45213317871094
2024-03-25,131.64894104003906
2024-03-26,131.82061767578125
2024-03-27,131.73182678222656
2024-03-28,131.802001953125
2024-03-29,131.80517578125
2024-04-01,131.6215362548828
2024-04-02,131.74105834960938
2024-04-03,131.88613891601562
2024-04-04,131.8330841064453
2024-04-05,131.9186553955078
2024-04-08,131.6236114501953
2024-04-09,131.3624725341797
2024-04-10,131.42308044433594
2024-04-11,131.564697265625
2024-04-12,131.8187713623047
2024-04-15,131.50808715820312
2024-04-16,131.83157348632812
2024-04-17,132.11993408203125
2024-04-18,131.9032745361328
2024-04-19,132.02883911132812
2024-04-22,131.67799377441406
2024-04-23,131.8955535888672
2024-04-24,131.63099670410156
2024-04-25,131.73753356933594
2024-04-26,131.52706909179688
2024-04-29,132.05905151367188
2024-04-30,131.94805908203125
2024-05-01,132.0045166015625
2024-05-02,132.67259216308594
2024-05-03,131.91506958007812
2024-05-06,131.70545959472656
2024-05-07,132.0769500732422
2024-05-08,132.05104064941406
2024-05-09,132.0764617919922
2024-05-10,132.1236572265625
2024-05-13,132.1349334716797
2024-05-14,132.0265350341797
2024-05-15,132.03150939941406
2024-05-16,131.68576049804688
2024-05-17,132.0358123779297
2024-05-20,131.06053161621094
2024-05-21,131.8320770263672
2024-05-22,131.70359802246094
2024-05-23,131.71859741210938
2024-05-24,131.59457397460938
2024-05-27,131.2645721435547
2024-05-28,131.37669372558594
2024-05-29,131.78355407714844
2024-05-30,131.90316772460938
2024-05-31,131.68287658691406
2024-06-03,131.8940887451172
2024-06-04,131.36602783203125
2024-06-05,132.10862731933594
2024-06-06,131.84701538085938
2024-06-07,131.8038330078125
